txn_ref,occurred_at,type,issue_type,order_code,item_code,issue_pool,qty,uom,rate,entered_by,authorized_by,remarks,colour_ref,batch_ref,external_ref
TXN-260825-29,2026-08-25 02:58:17,issue,bom,BS-QS-16442,2764,Paint Mixing,-50,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-30,2026-08-25 02:58:17,issue,bom,BS-QS-16442,2354,Paint Matt Agent,-25,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-31,2026-08-25 02:58:17,issue,bom,BS-QS-16442,2355,Paint Thinner,-20,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-32,2026-08-25 03:00:45,issue,bom,BS-LHET-338,2525,Paint Mixing,-150,Gram,1.97,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-33,2026-08-25 03:00:45,issue,bom,BS-LHET-338,2354,Paint Matt Agent,-75,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-34,2026-08-25 03:00:45,issue,bom,BS-LHET-338,2352,Paint Harnder,-75,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-35,2026-08-25 03:00:45,issue,bom,BS-LHET-338,2355,Paint Thinner,-45,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-36,2026-08-25 03:04:24,issue,bom,BS-LHET-339,2350,Paint Mixing,-100,Gram,6.44,malikhashir85858@gmail.com,,Variance: bom issue,,,
TXN-260825-37,2026-08-25 03:04:24,issue,bom,BS-LHET-339,2354,Paint Matt Agent,-50,Gram,5.19,malikhashir85858@gmail.com,,Variance: bom issue,,,
TXN-260825-38,2026-08-25 03:04:24,issue,bom,BS-LHET-339,2352,Paint Harnder,-50,Gram,5.81,malikhashir85858@gmail.com,,Variance: bom issue,,,
TXN-260825-39,2026-08-25 03:04:24,issue,bom,BS-LHET-339,2355,Paint Thinner,-40,Gram,1.67,malikhashir85858@gmail.com,,Variance: bom issue,,,
TXN-260825-40,2026-08-25 03:54:22,issue,bom,BS-LHET-326-B,2764,Paint Mixing,-55,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-41,2026-08-25 03:54:22,issue,bom,BS-LHET-326-B,2354,Paint Matt Agent,-28,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-42,2026-08-25 03:54:22,issue,bom,BS-LHET-326-B,2352,Paint Harnder,-28,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-43,2026-08-25 03:54:22,issue,bom,BS-LHET-326-B,2355,Paint Thinner,-23,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-44,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2241,Paint Mixing,-15,Gram,9.04,malikhashir85858@gmail.com,,Variance: color mixing over the bom,2464,,
TXN-260825-45,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2271,Paint Mixing,-30,Gram,9.04,malikhashir85858@gmail.com,,Variance: color mixing over the bom,2464,,
TXN-260825-46,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2253,Paint Mixing,-30,Gram,9.04,malikhashir85858@gmail.com,,Variance: color mixing over the bom,2464,,
TXN-260825-47,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2257,Paint Mixing,-30,Gram,9.2,malikhashir85858@gmail.com,,Variance: color mixing over the bom,2464,,
TXN-260825-48,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2350,Paint Mixing,-150,Gram,6.44,malikhashir85858@gmail.com,,Variance: color mixing over the bom,2464,,
TXN-260825-49,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2699,Paint Mixing,-10,Gram,6.93,malikhashir85858@gmail.com,,Variance: color mixing over the bom,2464,,
TXN-260825-50,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2354,Paint Matt Agent,-65,Gram,5.19,malikhashir85858@gmail.com,,Variance: color mixing over the bom,,,
TXN-260825-51,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2352,Paint Harnder,-65,Gram,5.81,malikhashir85858@gmail.com,,Variance: color mixing over the bom,,,
TXN-260825-52,2026-08-25 03:59:30,issue,bom,BS-SI-15934 RE,2355,Paint Thinner,-52,Gram,1.67,malikhashir85858@gmail.com,,Variance: color mixing over the bom,,,
TXN-260825-53,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,2764,Paint Mixing,-100,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-54,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,2350,Paint Mixing,-50,Gram,6.44,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-55,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,2354,Paint Matt Agent,-75,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-56,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,2352,Paint Harnder,-75,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-57,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,2355,Paint Thinner,-70,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-58,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,937,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-59,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,246,Miscellaneous,-100,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-60,2026-08-25 04:25:23,issue,bom,BS-SI-16237 RE,428,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-61,2026-08-25 04:55:44,issue,bom,BS-SI-16238,502,Paint Mixing,-20,Gram,3.59,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-62,2026-08-25 04:55:44,issue,bom,BS-SI-16238,2350,Paint Mixing,-150,Gram,6.44,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-63,2026-08-25 04:55:44,issue,bom,BS-SI-16238,2354,Paint Matt Agent,-75,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-64,2026-08-25 04:55:44,issue,bom,BS-SI-16238,2352,Paint Harnder,-75,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-65,2026-08-25 04:55:44,issue,bom,BS-SI-16238,2355,Paint Thinner,-100,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-66,2026-08-25 04:55:44,issue,bom,BS-SI-16238,726,Miscellaneous,-50,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-67,2026-08-25 04:55:44,issue,bom,BS-SI-16238,937,Miscellaneous,-3,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-68,2026-08-25 04:55:44,issue,bom,BS-SI-16238,1053,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-69,2026-08-25 05:51:28,issue,bom,BS-ET-16188,2239,Paint Mixing,-2,Gram,8.7,comrade@yorkyankee.com,,Variance: yasir testing,Pantone 2464C,,
TXN-260825-70,2026-08-25 06:04:05,issue,bom,BS-QS-14719,2239,Paint Mixing,-2,Gram,8.7,malikhashir85858@gmail.com,,Variance: eeasdca,pantone 7527C,,
TXN-260826-71,2026-08-26 01:06:26,issue,bom,BS-SI-16217-A,2240,Paint Mixing,-2,Gram,7.32,comrade@yorkyankee.com,,Variance: asdcas,pantone 901C,,
TXN-260827-72,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,2350,Paint Mixing,-150,Gram,6.44,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-73,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,2764,Paint Mixing,-100,Gram,6.04,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-74,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,2354,Paint Matt Agent,-130,Gram,5.19,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-75,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,2352,Paint Harnder,-130,Gram,5.81,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-76,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,2355,Paint Thinner,-110,Gram,1.67,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-77,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,937,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-78,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,388,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-79,2026-08-26 22:22:14,issue,bom,BS-QS-16421-A,1053,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260827-80,2026-08-26 22:26:07,issue,bom,BS-SI-16436-(Bulk),2350,Paint Mixing,-1400,Gram,6.44,malikhashir85858@gmail.com,,Variance: night sign ahmad arif used extra paint due to white paint covering issue,,,
TXN-260827-81,2026-08-26 22:26:07,issue,bom,BS-SI-16436-(Bulk),2195,Paint Matt Agent,-644.95,Gram,4.86,malikhashir85858@gmail.com,,Variance: night sign ahmad arif used extra paint due to white paint covering issue,,,
TXN-260827-82,2026-08-26 22:26:07,issue,bom,BS-SI-16436-(Bulk),2352,Paint Harnder,-645,Gram,5.81,malikhashir85858@gmail.com,,Variance: night sign ahmad arif used extra paint due to white paint covering issue,,,
TXN-260827-83,2026-08-26 22:26:07,issue,bom,BS-SI-16436-(Bulk),2355,Paint Thinner,-520,Gram,1.67,malikhashir85858@gmail.com,,Variance: night sign ahmad arif used extra paint due to white paint covering issue,,,
TXN-260827-84,2026-08-26 22:26:07,issue,bom,BS-SI-16436-(Bulk),937,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: night sign ahmad arif used extra paint due to white paint covering issue,,,
TXN-260827-85,2026-08-26 22:26:07,issue,bom,BS-SI-16436-(Bulk),1053,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: night sign ahmad arif used extra paint due to white paint covering issue,,,
TXN-260827-86,2026-08-26 23:27:42,receipt,,,937,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2907
TXN-260827-87,2026-08-26 23:27:42,receipt,,,292,Miscellaneous,25,Nos,,malikhashir85858@gmail.com,,,,,2907
TXN-260827-88,2026-08-26 23:27:42,receipt,,,56,Miscellaneous,3,Nos,,malikhashir85858@gmail.com,,,,,2907
TXN-260827-89,2026-08-26 23:27:42,receipt,,,1053,Miscellaneous,3,Nos,,malikhashir85858@gmail.com,,,,,2907
TXN-260827-90,2026-08-26 23:27:42,receipt,,,2354,Paint Matt Agent,900,Gram,5.19,malikhashir85858@gmail.com,,,,,2907
TXN-260827-91,2026-08-26 23:27:42,receipt,,,2430,Paint Binder,3600,Gram,3.66,malikhashir85858@gmail.com,,,,,2907
TXN-260827-92,2026-08-26 23:27:42,receipt,,,2272,Paint Mixing,900,Gram,9.04,malikhashir85858@gmail.com,,,,,2907
TXN-260827-93,2026-08-26 23:52:40,issue,bom,BS-LHET-343-A,2764,Paint Mixing,-60,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-94,2026-08-26 23:52:40,issue,bom,BS-LHET-343-A,2354,Paint Matt Agent,-30,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-95,2026-08-26 23:52:40,issue,bom,BS-LHET-343-A,2352,Paint Harnder,-30,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-96,2026-08-26 23:52:40,issue,bom,BS-LHET-343-A,2355,Paint Thinner,-25,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-97,2026-08-26 23:52:40,issue,bom,BS-LHET-343-A,937,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-98,2026-08-26 23:52:40,issue,bom,BS-LHET-343-A,239,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-99,2026-08-26 23:54:03,issue,bom,BS-LHET-343-B,2764,Paint Mixing,-60,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-100,2026-08-26 23:54:03,issue,bom,BS-LHET-343-B,2354,Paint Matt Agent,-30,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-101,2026-08-26 23:54:03,issue,bom,BS-LHET-343-B,2352,Paint Harnder,-30,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-102,2026-08-26 23:54:03,issue,bom,BS-LHET-343-B,2355,Paint Thinner,-25,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-103,2026-08-27 00:27:00,issue,bom,BS-ET-16445-A,2764,Paint Mixing,-50,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-104,2026-08-27 00:27:00,issue,bom,BS-ET-16445-A,2354,Paint Matt Agent,-25,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-105,2026-08-27 00:27:00,issue,bom,BS-ET-16445-A,2352,Paint Harnder,-25,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-106,2026-08-27 00:27:00,issue,bom,BS-ET-16445-A,2355,Paint Thinner,-23,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-107,2026-08-27 00:27:00,issue,bom,BS-ET-16445-A,937,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-108,2026-08-27 00:27:00,issue,bom,BS-ET-16445-A,239,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-109,2026-08-27 00:28:22,issue,bom,BS-ET-16445-B,2764,Paint Mixing,-50,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-110,2026-08-27 00:28:22,issue,bom,BS-ET-16445-B,2354,Paint Matt Agent,-25,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-111,2026-08-27 00:28:22,issue,bom,BS-ET-16445-B,2352,Paint Harnder,-25,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-112,2026-08-27 00:28:22,issue,bom,BS-ET-16445-B,2355,Paint Thinner,-23,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-113,2026-08-27 01:14:54,issue,bom,BS-US-2479,2272,Paint Mixing,-500,Gram,9.04,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,PANTONE 7463 C,,
TXN-260827-114,2026-08-27 01:14:54,issue,bom,BS-US-2479,2241,Paint Mixing,-100,Gram,9.04,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,PANTONE 7463 C,,
TXN-260827-115,2026-08-27 01:14:54,issue,bom,BS-US-2479,2242,Paint Mixing,-30,Gram,9.04,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,PANTONE 7463 C,,
TXN-260827-116,2026-08-27 01:14:54,issue,bom,BS-US-2479,2243,Paint Mixing,-120,Gram,9.04,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,PANTONE 7463 C,,
TXN-260827-117,2026-08-27 01:14:54,issue,bom,BS-US-2479,2274,Paint Mixing,-200,Gram,9.04,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,PANTONE 7463 C,,
TXN-260827-118,2026-08-27 01:14:54,issue,bom,BS-US-2479,2754,Paint Mixing,-70,Gram,7.78,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,PANTONE 7463 C,,
TXN-260827-119,2026-08-27 01:14:54,issue,bom,BS-US-2479,2352,Paint Harnder,-500,Gram,5.81,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-120,2026-08-27 01:14:54,issue,bom,BS-US-2479,2195,Paint Matt Agent,-300,Gram,4.86,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-121,2026-08-27 01:14:54,issue,bom,BS-US-2479,2355,Paint Thinner,-200,Gram,1.67,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-122,2026-08-27 01:14:54,issue,bom,BS-US-2479,2247,Paint Binder,-200,Gram,7.41,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-123,2026-08-27 01:14:54,issue,bom,BS-US-2479,937,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-124,2026-08-27 01:14:54,issue,bom,BS-US-2479,2268,Miscellaneous,-200,Nos,,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-125,2026-08-27 01:14:54,issue,bom,BS-US-2479,239,Miscellaneous,-7,Nos,,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-126,2026-08-27 01:14:54,issue,bom,BS-US-2479,388,Miscellaneous,-3,Nos,,malikhashir85858@gmail.com,,Variance: Due to 2 pantone shades .....mixing against 1 pantone 7463 is issued,,,
TXN-260827-127,2026-08-27 03:35:35,issue,bom,BS-US-2479,2241,Paint Mixing,-300,Gram,9.04,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,PANTONE 7580C,,
TXN-260827-128,2026-08-27 03:35:35,issue,bom,BS-US-2479,2242,Paint Mixing,-50,Gram,9.04,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,PANTONE 7580C,,
TXN-260827-129,2026-08-27 03:35:35,issue,bom,BS-US-2479,2243,Paint Mixing,-70,Gram,9.04,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,PANTONE 7580C,,
TXN-260827-130,2026-08-27 03:35:35,issue,bom,BS-US-2479,2754,Paint Mixing,-40,Gram,7.78,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,PANTONE 7580C,,
