ref,mixed_at,order_code,colour_ref,hex,lab_l,lab_a,lab_b,batch_grams,matcher,notes,brand_mix
CLR-260901-19,2026-08-31 23:26:16,BS-QS-16522,PANTONE 349 C,#00683D,37.87,-38.76,16.21,86,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260901-20,2026-08-31 23:26:37,BS-QS-16522,PANTONE 349 C,#00683D,37.87,-38.76,16.21,86,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260901-21,2026-09-01 05:10:24,BS-SM-16512,PANTONE 4292 C,#726D6F,46.53,2.33,-0.42,126,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260901-22,2026-09-01 05:22:02,BS-QS-16522,PANTONE 7738 C,#48A23F,53.16,-32.63,42.56,165,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260901-23,2026-09-01 05:27:00,BS-SM-16512,PANTONE 4212 C,#86AC3B,66,-26,49,130,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260902-24,2026-09-02 03:07:17,BS-SM-16458-B (Bulk),PANTONE 7533 C,#4B3C31,26.74,5.02,9.69,133.46,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260902-25,2026-09-02 03:48:31,BS-LHET-354-A,PANTONE 7586C,,0,0,0,343,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260902-26,2026-09-02 04:02:29,Gift-54,PANTONE 6018C,#F68132,66.15,39.68,59.93,158,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260902-27,2026-09-02 04:11:47,BS-ET-16471,PANTONE 485 C,#DC281E,48.92,67.16,52.59,182,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-28,2026-09-02 23:02:53,BS-SM-16382,PANTONE 289 C,#002144,11.9,-1.74,-26.64,290,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-29,2026-09-02 23:28:15,BS-LHET-335,PANTONE 9081 C,,0,0,0,134,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-30,2026-09-03 00:02:21,BS-SI-16521,PANTONE 7483 C,#235E37,35.08,-27.28,15.97,174,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-31,2026-09-03 00:05:39,BS-SI-16521,PANTONE 4207C,#7DA177,62.66,-20.71,17.95,153,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-32,2026-09-03 00:08:26,BS-SI-16521,PANTONE 2026 C,#F4633A,60.3,53.6,50.5,96,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-33,2026-09-03 00:21:01,BS-SM-16462,PANTONE 4625 C,#522C1B,22.7,16.85,18.62,147,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-34,2026-09-03 00:53:54,BS-SI-16489,PANTONE 534 C,#273E6B,26.13,2.72,-29.5,455,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-35,2026-09-03 00:54:13,BS-SI-16489,PANTONE 534 C,#273E6B,26.13,2.72,-29.5,455,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260903-36,2026-09-03 03:52:54,BS-SI-16103,Bright White,#FFFFFF,100,0,0,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-37,2026-09-03 03:55:09,BS-SI-16103,PANTONE Black 6 C,#111C24,9.37,-2.75,-7.48,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-38,2026-09-03 03:56:28,BS-SI-16103,PANTONE 125 C,#BA8B00,61.13,11.09,68.02,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-39,2026-09-03 03:58:46,BS-ET-16188,pantone 4063C,#9B4033,39.4,37.1,26.9,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-40,2026-09-03 03:59:54,BS-US-2501 B,PANTONE 268 C,#502D7E,26.63,30.13,-40.78,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-41,2026-09-03 04:04:11,BS-US-2489 B,PANTONE 185 C,#E70033,49.45,75.68,43.45,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-42,2026-09-03 04:06:09,BS-SI-16436-(Bulk),PANTONE 102 C,#FBE700,90.99,-6.83,100.92,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-43,2026-09-03 04:07:06,BS-SI-16436-(Bulk),PANTONE 200 C,#BE0D34,41.11,64.2,30.82,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-44,2026-09-03 04:08:15,BS-US-2501 B,PANTONE Black 6 C,#111C24,9.37,-2.75,-7.48,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-45,2026-09-03 04:10:15,BS-US-2501 B,PANTONE 2757 C,#002663,16.16,8.93,-40.65,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-46,2026-09-03 04:11:09,BS-US-2501 B,PANTONE 567 C,#19443B,25.72,-17.72,0.68,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-47,2026-09-03 04:15:07,BS-ET-16169,Bright White,#FFFFFF,100,0,0,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-48,2026-09-03 04:17:53,BS-ET-16169,PANTONE 2428C,#DD872C,64.07,26.23,59.17,1,malikhashir85858@gmail.com,,Nexa
CLR-260903-49,2026-09-03 04:19:36,BS-ET-16188,PANTONE Black C,#2A2623,15.59,1.47,2.7,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-50,2026-09-03 04:19:59,BS-ET-16188,PANTONE Black C,#2A2623,15.59,1.47,2.7,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-51,2026-09-03 04:21:28,BS-US-2501 B,PANTONE 199 C,#D7073A,46.35,71.29,34.37,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-52,2026-09-03 04:22:13,BS-US-2501 B,PANTONE 185 C,#E70033,49.45,75.68,43.45,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-53,2026-09-03 04:24:28,BS-US-2501 B,PANTONE Orange 021 C,#FE5000,58.5,63.63,69.44,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-54,2026-09-03 04:26:29,BS-US-2501 B,pantone 7722 C,#005151,31.8,-14.2,-3.2,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-55,2026-09-03 04:27:11,BS-US-2501 B,PANTONE 1955 C,#911C3C,32.74,49.41,12.69,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-56,2026-09-03 04:27:43,BS-US-2501 B,PANTONE 1675 C,#A6401E,41.6,41.57,41.93,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-57,2026-09-03 04:28:15,BS-US-2501 B,PANTONE 267 C,#532598,27.13,40.46,-55.65,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-58,2026-09-03 04:28:51,BS-US-2501 B,PANTONE 117 C,#C99900,66.4,9.87,81.09,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-59,2026-09-03 04:29:38,BS-US-2501 B,PANTONE Black 6 C,#111C24,9.37,-2.75,-7.48,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-60,2026-09-03 04:30:22,BS-US-2501 B,PANTONE 2766 C,#192154,14.63,11.5,-33.2,1,malikhashir85858@gmail.com,,Nippon
CLR-260903-61,2026-09-03 04:36:40,BS-ET-16211,PANTONE 216 C,#7F2448,30.37,41.5,1.21,1,malikhashir85858@gmail.com,,Nexa
CLR-260905-58,2026-09-05 02:42:31,BS-SM-15743 RE,pantone 2312C,#B79A81,65.6,7,17.7,126,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260905-59,2026-09-05 05:28:04,BS-LHET-368,PANTONE 695 C,#B46F7E,54.97,29.57,4.16,127,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260907-60,2026-09-07 00:14:00,BS-ET-16565,PANTONE 5415 C,#5B7E92,50.69,-8.55,-15.19,122,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
